Transcript,SRR27137980,SRR27137981,SRR27137982,SRR27137983,SRR27137984,SRR27137985,SRR27137986,SRR27137987,SRR27137988,SRR27137989,SRR27137990,SRR27137991,SRR27137992,SRR27137993,SRR27137994,SRR27137995,SRR27137996,SRR27137997
ESW13740,325.277,346.661,313.095,414.32,233.712,202.494,131.378,280.153,146.971,145,130.998,152.954,159.551,195.365,199.632,335.8,189.687,238.163
ESW13178,1664.023,1681.304,2055.619,1643.869,2007.128,1816.114,1444.733,2154.936,2429.276,1882.808,2118.843,2447.687,2222.6,2651.628,2084.541,2341.477,2248.845,2881.638
ESW14153,0,0,0,1,1,3,0,1,0,0,1,3,0,0,0,0,0,0
ESW14152,0,0,0,0,0,0,1,0,1,0,0,0,3,3,0,0,0,2
ESW13348,22,15.083,17.002,22.01,14,14,20,22,21,12,10,25.012,12,22.018,15,18.034,14,23
ESW13469,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ESW13847,2110.666,1687.351,1756.709,1787.108,2681.229,2087.153,1853.769,1539.583,2493.46,2270.166,2033.523,2038.907,1632.744,2089.67,2225.334,2716.494,1186.994,1860.347
ESW13660,63.149,85.006,76.252,88.255,96.239,108.398,56,85.314,82,65,64.061,67.989,84.945,91.085,53.216,62,94.181,94.177
ESW14415,35,42.02,33,40.009,31.008,38.074,27.961,50,41.838,42,37,45,32,31.021,48,48.673,22.88,40.478
ESW12397,1646.286,1586.557,1836.094,1686.146,1452.24,1587.845,1450.092,2097.908,2259.288,1783.865,1475.568,1783.755,1617.934,1995.132,1359.239,1749.915,1569.889,1865.761
ESW12784,9,13.065,14,13,8,0,5.001,23,7.904,4,4,13.018,21.283,0,5,10.257,16.015,11.416
ESW12783,0,0,0,0,0,8.001,0,0,3.096,0,0,0,2.717,14,0,3.743,0,4.584
ESW13896,6,2,4,4,1,10,4,6,9,5,6,12,4,2,2,9,7.006,9
